Quel est le mot depasse et le compte administrateurpar défaut du SNS ?;1;4;1;Login : admin, password : admin;Login : root, password : password;Login : admin, password : root;Login : root, password : stormshield;1;;;;;
La translation dynamique nécessite une réécriture de port source : Vrai seulement s’il y a plusieurs machines émettant des connexions à translater;1;2;1;Vrai dans tous les cas;FAUX;1;;;;;;;
Combien de politique de filtrage et NAT sont disponibles sur les pare-feux Stormshield :;1;5;1;2;4;8;10;3;4;;;;
Si deux règles de translation ont les mêmes critères de sélection de trafic, c’est la dernière dans la liste qui s’appliquera :;1;2;1;VRAI;FAUX;2;;;;;;;
Le protocole ARP permet de déterminer automatiquement la passerelle à utiliser pour joindre une machine :;1;2;1;VRAI;FAUX;2;;;;;;;
La publication ARP permet au pare-feu de répondre aux requêtes ARP sur des adresses IP ne lui appartenant pas (non configurée sur une interface) :;1;2;1;VRAI;FAUX;1;;;;;;;
Pour autoriser un trafic TCP à passer au travers du pare-feu, il faut impérativement créer une seconde règle pour autoriser les paquets réponses, sinon le client ne recevra jamais les données demandées au serveur.;1;2;1;VRAI;FAUX;2;;;;;;;
Les règles de filtrage implicites peuvent toute être désactivées  :;1;2;1;VRAI;FAUX;1;;;;;;;
L’action « block » sur une règle de filtrage permet de rejeter une connexion et d’infor er le client que ce trafic n’est pas autorisé :;1;2;1;VRAI;FAUX;2;;;;;;;
Dans quels cas est-il intéressant d’utiliser le niveau de trace avancé ?;1;3;2;Tout le temps si je souhaite avoir des log des connexions traversant le pare-feu.;Si je souhaite avoir des log du trafic ICMP et ESP;Si je souhaite avoir des log des paquets bloqués.;2;3;;;;;
Il n’est pas possible d’utiliser une liste d’objets dans la destination d’une règle de filtrage si on y insère un objet FQDN.;1;2;1;VRAI;FAUX;1;;;;;;;
Le pare-feu Stormshield permet d’autoriser spécifiquement un message ICMP avec son type et son code.;1;2;1;VRAI;FAUX;1;;;;;;;
Les analyses pourle filtrage URL sont effectuées par le module IPS ASQ :;1;2;1;VRAI;FAUX;2;;;;;;;
La base d’URL extended web control ne peut pas être utilisée sur les petits modèles de pare-feucar l’espace disque est insuffisant :;1;2;1;VRAI;FAUX;2;;;;;;;
La catégories personnalisées sont prioritaires sur les catégories intégrées dans le pare-feu :;1;3;1;Seulementsi la règle de filtrage est située avant.;Toujours.;Jamais, c'est l'inverse;1;;;;;;
Il n’est pas possible de filtrer les sites web utilisant HTTPS avec le proxy HTTP (filtrage URL) :;1;2;1;VRAI;FAUX;1;;;;;;;
Le SNI est un champ dans le handshake TLS/SSL qui contient l’URL demandée par le client :;1;2;1;VRAI;FAUX;2;;;;;;;
Quelflux le proxy SSL peut-il déchiffrer et analyser ?;1;5;3;SSH;HTTPS;SFTP;FTPS;SMTPS;2;4;5;;
Une des limites de l’annuaire interne au pare-feu est u’il ne supporte pas les groupes d’utilisateurs :;1;2;1;VRAI;FAUX;2;;;;;;;
Il n’est pas possible de rediriger vers le portail captif les utilisateurs visant un site web en HTTPS :;1;3;1;Faux, la règle de redirection permet de le faire de base.;Vrai, c’est impossible car HTTPS est chiffré.;Vrai, mais on peututiliser le proxy SSL pour cela.;3;;;;;;
Tous les administrateurs du pare-feu peuvent gérer les droits des autres administrateurs :;1;2;1;VRAI;FAUX;2;;;;;;;
La création d’un utilisateur par enrôlement nécessite obligatoirement une action de la part d’un administrateur :;1;2;1;VRAI;FAUX;1;;;;;;;
IPsec utilise TCP pour négocier la connexion, puisse envoie les données chiffrées grâce à UDP :;1;2;1;VRAI;FAUX;2;;;;;;;
SHA1est unalgorithmede hachage sûr pourles tunnelVPN :;1;2;1;VRAI;FAUX;2;;;;;;;
Les VTIfont partie du standardIKEv2 est ne sont pas disponibles sur IKEv1 :;1;2;1;VRAI;FAUX;2;;;;;;;
Un tunnel IPsec garantit  :;1;6;4;L’authentification;La qualité de service;L’intégrité;La confidentialité;L’anti-rejeu;La réception;1;3;4;5
L’option keepalive permet au pare-feu de détecter des coupures de connexion :;1;2;1;VRAI;FAUX;2;;;;;;;
La négociation d’un tunnel IPsec est initiée seulement s’il y a des données à envoyer dans le tunnel :;1;2;1;VRAI;FAUX;1;;;;;;;
Sans VTI, il est impossible de faire fonctionner deux tunnels entre les mêmes réseaux simultanément (pour un besoin de redondance par exemple) :;1;2;1;VRAI;FAUX;1;;;;;;;
Une route statique est nécessaire pour que le firewall puisse envoyer les paquets dans un tunnel IPsec :;1;4;1;Vrai dans tous les cas;Vrai seulement avec des VTI;Vrai seulement avec de la correspondance de politique (tunnel IPsec standard);Faux danstous les cas;2;;;;;
Les utilisateurs s’authentifient avec des certificats uniques sur le VPN SSL :;1;2;1;VRAI;FAUX;2;;;;;;;
Le pare-feu peut gérer simultanémentdes connexions UDP et TCP au VPN SSL :;1;2;1;VRAI;FAUX;1;;;;;;;
Le VPN SSL est une implémentation non standard,spécifique Stormshield :;1;2;1;VRAI;FAUX;2;;;;;;;
Les utilisateurs connectés en VPN SSL sont automatiquement authentifiés sans devoir passer par le portail captif :;1;2;1;VRAI;FAUX;1;;;;;;;
Pour qu’un utilisateur puisse se connecter en VPN SSL, je dois :;1;5;4;Autoriser l’accès au VPN pour cet utilisateur;Lui fournir l’adresse IP publique de mon firewall;Activer le portail captif sur l’interface externe;Avoir unannuairelié à mon pare-feu;Créer une règle de filtrage pour autoriser spécifiquement cet utilisateur à se connecter;1;2;3;4;
Il est impossible d’avoir plus de deux interfaces au sein d’un bridge;1;2;1;FAUX;VRAI;1;;;;;;;
Breach Fighter ne peut pas fonctionner sans l’option « Antivirus Kaspersky »;1;2;1;FAUX;VRAI;1;;;;;;;
Est-il possible d’arrêter l’écriture des événements pour une catégorie de trace ?;1;2;1;VRAI;FAUX;1;;;;;;;
La mise à jour système est possible;1;3;1;Peu importe la partition active; Seulement lorsque la partition de secours est active; Seulement lorsque la partition principale est active;1;;;;;;
Un utilisateur authentifié peut être un critère d’application d’une règle de NAT;1;2;1;FAUX;VRAI;2;;;;;;;
Les routes statiques;1;3;1;Permettent à l’UTM de connaître l’emplacement de réseaux distants; Permettent de faire du routage en fonction de l’adresse IP source;N’ont pas d’utilité sur les UTM Stormshield Network;1;;;;;;
Quels types de VPN puis-je établir entre deux UTMs Stormshield Network ?;1;4;2;VPN SSL;VPN PPTP;VPN Ipsec;OpenVPN;1;3;;;;
Quelles inspections de sécurité peuvent être activées dans la politique de filtrage;1;5;5; Analyse antispam; Filtrage SMTP; Antiphishing; Filtrage URL; Analyse antivirale;1;2;3;4;5
Les extrémités de trafic d’un tunnel IPSec représentent les machines /réseaux qui pourront communiquer au travers du tunnel;1;2;1;VRAI;FAUX;1;;;;;;;
Il est possible d’éditer la page de blocage utilisée dans le filtrage URL :;1;2;1;oui;non;1;;;;;;;
La directive « Via Tunnel VPN IPSec » de la politique de filtrage permet de forcer la transmission d’un trafic dans le tunnel VPN IPSec;1;2;1;FAUX;VRAI;2;;;;;;;
Les modems de la configuration réseau peuvent être de type;1;5;4;HTTP;PPoE;L2TP;PPTP;3G;2;3;4;5;
Dans la liste suivante, sélectionnez les éléments pouvant être représentés par un objet;1;5;5;Un réseau;Une adresse IP;Un utilisateur ou un groupe d'utilisateurs;Un routeur;Un groupe de mots clés à utiliser dans le filtrage URL;1;2;3;4;5
Le firewall stormshield Network peut jouer le rôle de serveur DHCP pour les machines du réseau local;1;2;1;VRAI;FAUX;1;;;;;;;
Deux VLANs peuvent être rattachés à la même interface physique;1;2;1;FAUX;VRAI;2;;;;;;;
Lorsque la quantité d’espace disque allouée à une catégorie de log est atteinte, quelles actions sont possibles ?;1;4;2; Effectuer une rotation automatique des fichiers de logs; Arrêter l’écriture des logs; Arrêter l’équipement Stormshield; Envoyer un ping;1;2;;;;
Les VLAN créés sur les firewalls SN respectent la norme;1;4;1;802.1q;ISO-3166;RFC 894;Hyperlan;1;;;;;
La partition active peut être sauvegardée;1;3;1; Sur tous les modèles d’UTMs; Seulement sur les appliances virtuelles; Seulement sur les appliances physiques;1;;;;;;
L’activation d’une règle de filtrage peut se faire en fonction du jour et de l’heure.;1;2;1;VRAI;FAUX;1;;;;;;;
La restauration d’une configuration;1;4;2; S’effectue grâce à l’import d’un fichier au format « .na »; Ne peut s’effectuer que si le fichier de configuration est protégé par un mot de passe; Ne peut pas s’effectuer depuis une sauvegarde automatique; Peut s’effectuer partiellement depuis une sauvegarde automatique;1;4;;;;
Le nombre de règles de filtrage que peut gérer le firewall est :;1;4;1;Illimité;Limité à 2048;Limité à 1024; La limite dépend du modèle de l’UTM;4;;;;;
IPSec est un standard;1;5;1; Checkpoint; IBM; Stormshield; Internet (IETF); Cisco;4;;;;
Chaque utilisateur se connectant via un tunnel VPN SSL est automatiquement authentifié au niveau du firewall;1;2;1;VRAI;FAUX;1;;;;;;;
Dans le cas où le firewall déclenche une alarme majeure, il faut :;1;4;1; Redémarrer le Firewall; Analyser les serveurs; Analyser les traces; Ne rien faire;3;;;;;
Un serveur DNS permet :;1;4;1; De récupérer des alarmes;De translater l’adresse IP privée d’un serveur avec une adresse IP publique; D’associer le nom d’une machine à une adresse IP; D’envoyer des e-mails;3;;;;;
Stormshield Real-time Monitor peut être utilisé pour :;1;4;2; Afficher les règles de filtrage implicites; Injecter une nouvelle licence; Visualiser les derniers évènements;Mettre à jour la version de firmware;1;3;;;;
Dans une règle de filtrage, il est possible de renseigner plusieurs objets FQDN comme objets de destination;1;2;1;VRAI;FAUX;1;;;;;;;
Une translation dynamique (SNAT) peut être configurée au sein d’une règle de filtrage;1;2;1;FAUX;VRAI;2;;;;;;;
Le Règlement Général sur la Protection des Données (RGPD) n’a pas d’incidence sur la gestion des logs;1;2;1;FAUX;VRAI;1;;;;;;;
L'opération de NAT qui modifie l'adresse IP et le port source;1;4;1; Est uniquement configurable dans la politique de NAT; Modifie le port destination dans tous les cas; Peut être définie dans une règle de filtrage et sera analysée en priorité sur les règles définies dans l’onglet NAT de la politique active; Doit impérativement être définie dans le filtrage;3;;;;;
Sur les UTM Stormshield, la négociation des paramètres IPSec est assuré par le protocole;1;6;1;AH;PPTP;L2TP;IKE;ESP;VPN;4;;;
L’adresse IP 135.1.1.0/23 est une adresse :;1;4;1;Privée;D'hôte;De broadcast;De Réseau;4;;;;;
Il est possible de faire de la redirection de port pour le protocole ICMP.;1;2;1;VRAI;FAUX;2;;;;;;;
Les objets commençant par Network_ peuvent être modifiés directement depuis la base objets;1;2;1;VRAI;FAUX;1;;;;;;;
Est-il possible de tracer une règle de NAT ?;1;2;1;Non;Oui;2;;;;;;;
Le mécanisme de translation d’adresse apporte un premier niveau de sécurité en :;1;4;1; Chiffrant les adresses IP; Filtrant l’accès de certaines IP; Cachant les adresses internes vis-à-vis de l’extérieur; Translatant les adresses réseaux sur un serveur sécurisé;3;;;;;
Le service NTP (Network Time Protocol);1;3;1; Est soumis à une option de licence; A besoin de connaître le fuseau horaire de l’UTM pour synchroniser l’heure; Détermine lui-même l’heure locale grace à un signal GPS;2;;;;;;
Lors de la création d’un VPN IPSec, si je paramètre une authentification par PSK, cela signifie :;1;4;1; Par clé pré-partagée; Par certificat; Par authentification LDAP; Par authentification RADIUS;1;;;;;
Un utilisateur ne parvient pas à s’authentifier sur le portail captif, Il sera alors redirigé vers une autre méthode d’authentification;1;3;1; Vrai dans tous les cas; Faux, l’utilisateur ne peut s’authentifier qu’avec une seule méthode; Vrai mais cela dépend de la politique d’authentification;3;;;;;;
Je dois installer un firewall Stormshield Network au sein d’un réseau existant. La configuration actuelle est composée d’un routeur relié directement au LAN. Le routeur est la passerelle par défaut de l’ensemble des machines internes. On souhaite sécuriser ce réseau en ne modifiant ni la configuration du routeur, ni la configuration des stations de travail. Quel mode est le plus approprié à ce type d’architecture ?;1;4;1; Mode furtif (stealth); Mode transparent (bridge); Mode avancé (routé); Mode hybride;2;;;;;
Est-il possible de désactiver la mise à jour automatique de certains modules (active update) ?;1;2;1;oui;non;1;;;;;;;
